Contract title,Suppliers name,Buyer name,Buyer parent, Total amount ,Procurement method,Start date,End date, Contract amount ,Contract currency,Source,QQW Link
SERVICIO INTEGRAL PARA REALIZAR EL EVENTO DE LA PRIMERA REUNIÓN DEL COMITÉ DE GESTIÓN POR COMPETENCIAS PARA LA IGUALDAD DE GÉNERO.,A&A PROFESSIONAL GROUPS & MEETINGS S.A. DE C.V.,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $83,491.33 ",direct,2014-04-11T00:00:00.000Z,2014-04-15T00:00:00.000Z," $83,491.33 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/EVENTOS/010/14,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2FEVENTOS%2F010%2F14
INMUJERES/EVENTOS/010/14,A&A PROFESSIONAL GROUPS & MEETINGS SA DE CV,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $83,491.33 ",direct,2014-04-11T00:00:00.000Z,2014-04-15T00:00:00.000Z," $83,491.33 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=380106,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-N29-2014
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,AALEJANDRO FRANCISCO ÁLVAREZ MANILLA FLORES,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $25,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $25,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/060/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F060%2F13
ADQUISICIÓN DE MATERIAL ELECTRICO,ABASTECEDORA INTEGRAL JM S.A. DE C.V.,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $52,173.91 ",direct,2007-03-06T00:00:00.000Z,2007-12-31T00:00:00.000Z," $52,173.91 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/041/07,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F041%2F07
Servicios para desempeñarse como tutora en línea del Curso Básico en Género que ofrecerá la Dirección de Capacitación y Profesionalización durante el ejercicio fiscal 2011.,Abril Violeta Zarco Iturbide,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $72,413.76 ",direct,2011-04-05T00:00:00.000Z,2011-11-30T00:00:00.000Z," $72,413.76 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/014/11,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F014%2F11
Servicios para desempeñarse como tutora en línea del Curso Básico en Género que ofrecerá la Dirección de Capacitación y Profesionalización durante el ejercicio fiscal 2012.,Abril Violeta Zarco Iturbide,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $51,724.12 ",direct,2012-03-08T00:00:00.000Z,2012-09-30T00:00:00.000Z," $51,724.12 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/051/12,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F051%2F12
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,ADRIÁN FERNÁNDEZ DE MENDOZA RODRÍGUEZ,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $25,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $25,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/057/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F057%2F13
Servicios profesionales para la sistematización de contenidos y materiales del curso-taller sobre el Diseño de Programas con Enfoque de Género (Metodología del Marco Lógico) SHCP-INMUJERES para generar dos documentos de consulta y un video que proporcione orientación a personal de las dep.fed y de(IMEF s) sobre la aplicación de la metodología del marco lógico y el análisis de género.,Adriana Guadalupe García Cruz,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $34,482.76 ",direct,2010-07-28T00:00:00.000Z,2010-08-15T00:00:00.000Z," $34,482.76 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/055/10,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F055%2F10
Servicio Profesional para emitir el dictamen de las obligaciones en los términos de la Ley del Seguro Social y la Ley del INFONAVIT 2016.,AE ENRIQUEZ Y ASOCIADOS S.C.,DIRECCIÓN DE FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $98,000.00 ",direct,2017-05-04T00:00:00.000Z,2017-10-31T00:00:00.000Z," $98,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/015/17,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F015%2F17
Servicio Profesional para emitir el dictamen de las obligaciones en los términos de la Ley del Seguro Social y la Ley del INFONAVIT 2016.,AE ENRIQUEZ Y ASOCIADOS SC,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $98,000.00 ",direct,2017-05-04T00:00:00.000Z,2017-10-31T00:00:00.000Z," $98,000.00 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1128377,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-E40-2017
